year,AQI,PM10,SO2,CO,O3,NO2,temperature,green_fraction,veg_area_m2,bufferArea_m2,station,PM25,humidity
2012,55.0,74.0,7.0,,,12.0,28.1060638,0.25380776,787834.684,3104060.63,Sweihan,27.0,36.5438068
2013,91.0,138.0,6.0,,,10.0,27.3659091,0.24965708,774950.721,3104060.63,Sweihan,39.0,42.3930192
2014,59.0,90.0,4.0,0.4,85.0,16.0,27.6109859,0.25380776,787834.684,3104060.63,Sweihan,42.0,40.8974228
2015,100.0,132.0,6.0,0.6,118.0,14.0,28.3969062,0.25037292,777172.721,3104060.63,Sweihan,47.0,36.6907531
2016,79.0,91.0,8.0,0.6,117.0,13.0,27.9492365,0.24550697,762068.509,3104060.63,Sweihan,40.0,41.1387368
2017,95.0,114.0,9.0,0.6,117.0,17.0,28.4447323,0.2496574,774951.709,3104060.63,Sweihan,46.0,37.5734182
2018,113.0,136.0,10.0,1.1,121.0,18.0,28.3621545,0.18353891,569715.909,3104060.63,Sweihan,59.0,37.7614118
2019,72.0,83.0,11.0,0.8,120.0,16.0,28.1628289,0.23384193,725859.54,3104060.63,Sweihan,33.0,38.9838972
2020,63.0,75.0,8.0,0.7,109.0,14.0,28.0372172,0.30439613,944864.041,3104060.63,Sweihan,28.0,37.4747162
2021,69.0,89.0,6.0,0.5,116.0,14.0,28.551188,0.22697312,704538.316,3104060.63,Sweihan,26.0,37.8893583
2022,90.0,119.0,4.0,0.4,114.0,14.0,28.2336165,0.2509425,778940.73,3104060.63,Sweihan,39.0,39.391538
2023,70.0,83.0,5.0,0.5,116.0,13.0,28.3671784,0.1608559,499306.469,3104060.63,Sweihan,34.0,40.6629497
2024,61.0,86.0,4.0,0.3,93.0,14.0,28.2111319,0.30897578,959079.561,3104060.63,Sweihan,31.0,44.3997239
2025,68.0,90.0,5.0,0.5,107.0,17.0,28.4050421,0.19191138,595704.547,3104060.63,Sweihan,32.0,37.5515485
2007,73.0,138.0,9.0,,,,28.168159,0.42345111,1314417.91,3104060.63,al ain street,,31.4102388
2008,84.0,132.0,7.0,,,,27.8411384,0.41692886,1294172.47,3104060.63,al ain street,,30.2218275
2009,92.0,147.0,4.0,,,3.0,28.2088662,0.44302174,1375166.34,3104060.63,al ain street,,31.2245938
2010,94.0,151.0,6.0,,,5.0,28.7533369,0.4400104,1365818.97,3104060.63,al ain street,,30.2860044
2011,72.0,143.0,7.0,,,4.0,28.2720504,0.37764349,1172228.29,3104060.63,al ain street,,32.2710818
2012,103.0,154.0,5.0,,,49.0,28.5529056,0.3770701,1170448.46,3104060.63,al ain street,44.0,29.4946691
2013,93.0,153.0,9.0,,,60.0,27.5818162,0.37706884,1170444.55,3104060.63,al ain street,42.0,36.214867
2014,73.0,104.0,9.0,1.0,,54.0,27.9123954,0.4012276,1245434.79,3104060.63,al ain street,37.0,34.1122443
2015,80.0,107.0,5.0,0.9,,42.0,28.7214938,0.37556352,1165771.92,3104060.63,al ain street,43.0,30.9101232
2016,68.0,102.0,5.0,0.9,,43.0,28.2092743,0.4012276,1245434.79,3104060.63,al ain street,31.0,34.6026365
2017,76.0,103.0,6.0,1.0,,42.0,28.8198431,0.42130076,1307743.12,3104060.63,al ain street,43.0,30.5768757
2018,95.0,123.0,7.0,0.7,,41.0,28.7309266,0.40122886,1245438.7,3104060.63,al ain street,55.0,30.9300767
2019,53.0,86.0,11.0,0.6,,55.0,28.3400369,0.38696311,1201156.94,3104060.63,al ain street,34.0,33.352224
2020,60.0,90.0,9.0,0.7,,33.0,28.1419942,0.44043977,1367151.75,3104060.63,al ain street,24.0,31.841352
2021,75.0,112.0,8.0,0.7,,37.0,28.8417283,0.3770701,1170448.46,3104060.63,al ain street,33.0,30.8708593
2022,88.0,130.0,8.0,0.7,,38.0,28.4234926,0.32775034,1017356.94,3104060.63,al ain street,38.0,33.0130133
2023,65.0,98.0,7.0,0.7,,34.0,28.6535891,0.34638942,1075213.75,3104060.63,al ain street,28.0,34.1390175
2024,74.0,112.0,6.0,0.6,,31.0,28.4388464,0.41362887,1283929.08,3104060.63,al ain street,27.0,37.5948177
2025,86.0,131.0,5.0,0.7,,33.0,28.6802566,0.39979334,1240982.77,3104060.63,al ain street,30.0,31.1158882
2013,91.0,130.0,10.0,,,18.0,27.3448134,0.16577451,514574.138,3104060.63,altawia,36.0,37.4736399
2014,68.0,106.0,7.0,,94.0,22.0,27.675208,0.22060165,684760.908,3104060.63,altawia,34.0,35.4216479
2015,94.0,136.0,6.0,,98.0,25.0,28.4478817,0.20368825,632260.684,3104060.63,altawia,44.0,32.0635918
2016,82.0,100.0,6.0,,116.0,33.0,27.9819654,0.19014186,590211.872,3104060.63,altawia,36.0,35.9388274
2017,90.0,113.0,7.0,,112.0,33.0,28.5415928,0.15459331,479867.011,3104060.63,altawia,44.0,32.0899483
2018,111.0,135.0,7.0,,115.0,29.0,28.45978,0.16068516,498776.472,3104060.63,altawia,62.0,32.3132502
2019,76.0,99.0,9.0,,108.0,23.0,28.1337329,0.11567581,359064.723,3104060.63,altawia,24.0,34.3838517
2020,73.0,98.0,10.0,,113.0,20.0,27.9290104,0.16240492,504114.715,3104060.63,altawia,20.0,32.9387057
2021,77.0,108.0,8.0,,112.0,13.0,28.5530916,0.13395163,415793.973,3104060.63,altawia,23.0,32.417932
2022,94.0,128.0,6.0,,108.0,14.0,28.1525124,0.20569317,638484.084,3104060.63,altawia,39.0,34.368344
2023,74.0,101.0,6.0,,112.0,13.0,28.3714396,0.13223123,410453.769,3104060.63,altawia,34.0,35.4187578
2024,71.0,100.0,5.0,,101.0,18.0,28.1980313,0.17050295,529251.489,3104060.63,altawia,30.0,38.9648949
2025,75.0,102.0,5.0,,110.0,22.0,28.3703636,0.09847474,305671.569,3104060.63,altawia,28.0,32.4770647
2007,55.0,97.0,7.0,,,48.0,28.0917446,0.45330134,1407074.84,3104060.63,alain islamic institue,,31.8887336
2008,69.0,92.0,6.0,,,54.0,27.7462324,0.39752546,1233943.14,3104060.63,alain islamic institue,,30.7520952
2009,70.0,114.0,3.0,,,,28.1075531,0.41796023,1297373.88,3104060.63,alain islamic institue,,31.7460457
2010,50.0,96.0,5.0,,,29.0,28.6483238,0.42025422,1304494.57,3104060.63,alain islamic institue,,30.8255466
2011,80.0,138.0,9.0,,,27.0,28.1896551,0.41796023,1297373.88,3104060.63,alain islamic institue,,32.757005
2012,102.0,158.0,5.0,,,27.0,28.4543089,0.31873807,989382.303,3104060.63,alain islamic institue,40.0,29.9723237
2013,77.0,115.0,8.0,,,29.0,27.5028152,0.40218741,1248414.11,3104060.63,alain islamic institue,37.0,36.634458
2014,66.0,103.0,7.0,,77.0,36.0,27.833333,0.38390686,1191670.17,3104060.63,alain islamic institue,31.0,34.5487121
2015,92.0,124.0,6.0,,93.0,34.0,28.6302897,0.42046922,1305161.95,3104060.63,alain islamic institue,44.0,31.2946127
,77.0,112.0,6.0,,94.0,32.0,28.1335047,0.43674193,1355673.44,3104060.63,alain islamic institue,36.0,35.0480334
2017,96.0,117.0,7.0,,99.0,34.0,28.727093,0.43674193,1355673.44,3104060.63,alain islamic institue,56.0,31.0812332
2018,124.0,143.0,8.0,,113.0,36.0,28.6405444,0.40218741,1248414.11,3104060.63,alain islamic institue,77.0,31.3911345
2019,67.0,90.0,10.0,,91.0,32.0,28.2712689,0.40218741,1248414.11,3104060.63,alain islamic institue,29.0,33.6960999
2020,56.0,79.0,7.0,,92.0,27.0,28.0709996,0.41846012,1298925.59,3104060.63,alain islamic institue,21.0,32.2071366
2021,82.0,122.0,9.0,,96.0,28.0,28.745516,0.41846012,1298925.59,3104060.63,alain islamic institue,33.0,31.3865502
2022,104.0,149.0,8.0,,103.0,29.0,28.3331659,0.38390686,1191670.17,3104060.63,alain islamic institue,35.0,33.4647902
2023,67.0,91.0,6.0,,101.0,29.0,28.5595393,0.41845981,1298924.62,3104060.63,alain islamic institue,27.0,34.5655976
2024,68.0,94.0,6.0,,101.0,29.0,28.3585747,0.44011048,1366129.63,3104060.63,alain islamic institue,27.0,38.0515101
2025,89.0,131.0,6.0,,110.0,31.0,28.5769589,0.41846012,1298925.59,3104060.63,alain islamic institue,30.0,31.5696137
2012,35.0,54.0,7.0,,,41.0,28.3842313,0.0851315,264253.322,3104060.63,zakher,28.0,30.555921
2013,58.0,79.0,5.0,,,29.0,27.4616571,0.22893281,710621.324,3104060.63,zakher,40.0,37.0660627
2014,44.0,75.0,5.0,,,31.0,27.7898705,0.21444404,665647.287,3104060.63,zakher,36.0,34.987109
2015,74.0,105.0,9.0,,,32.0,28.5594698,0.29290566,909196.926,3104060.63,zakher,47.0,31.6874514
2016,63.0,93.0,8.0,,,35.0,28.0974557,0.20246546,628465.065,3104060.63,zakher,29.0,35.519235
2017,81.0,125.0,7.0,,,34.0,28.6613173,0.24521174,761152.095,3104060.63,zakher,42.0,31.8336704
2018,106.0,133.0,9.0,,,38.0,28.5845245,0.10298885,319683.644,3104060.63,zakher,63.0,31.8882571
2019,67.0,111.0,7.0,,,28.0,28.2396525,0.191277,593735.411,3104060.63,zakher,33.0,34.0249629
2020,66.0,99.0,8.0,,,20.0,28.0095354,0.18216912,565464.0,3104060.63,zakher,22.0,32.6133924
2021,66.0,100.0,7.0,,,24.0,28.650545,0.11625908,360875.237,3104060.63,zakher,27.0,31.9856732
2022,88.0,127.0,5.0,,,27.0,28.2679759,0.12443504,386253.896,3104060.63,zakher,32.0,33.8305995
2023,64.0,98.0,6.0,,,23.0,28.4935996,0.13842009,429664.366,3104060.63,zakher,26.0,34.8329962
2024,68.0,103.0,6.0,,,24.0,28.3041084,0.1852538,575039.02,3104060.63,zakher,26.0,38.3508287
2025,83.0,126.0,6.0,,,23.0,28.4558026,0.00681392,21150.8157,3104060.63,zakher,34.0,32.0081573
2013,99.0,147.0,13.0,,,4.0,28.1531505,0.11184334,347168.494,3104060.63,al quaa,43.0,36.5760664
2014,64.0,87.0,5.0,0.3,94.0,6.0,28.5314968,0.09577255,297283.79,3104060.63,al quaa,36.0,34.547274
2015,106.0,139.0,4.0,0.6,118.0,5.0,29.2090992,0.07804578,242258.819,3104060.63,al quaa,47.0,31.7017186
2016,87.0,109.0,6.0,0.3,110.0,4.0,28.8124951,0.07804578,242258.819,3104060.63,al quaa,24.0,35.3874225
2017,93.0,130.0,5.0,0.4,89.0,5.0,29.3508304,0.06168724,191480.918,3104060.63,al quaa,50.0,32.9441681
2018,121.0,154.0,7.0,0.2,86.0,7.0,29.291454,0.06168724,191480.918,3104060.63,al quaa,66.0,31.9458011
2019,79.0,116.0,8.0,0.4,95.0,9.0,28.9898554,0.07646152,237341.181,3104060.63,al quaa,34.0,33.8149321
2020,76.0,105.0,8.0,0.4,101.0,8.0,28.8924531,0.0868377,269549.479,3104060.63,al quaa,28.0,33.1307623
2021,86.0,120.0,7.0,0.4,109.0,8.0,29.4013639,0.1052143,326591.573,3104060.63,al quaa,33.0,32.5626253
2022,105.0,146.0,7.0,0.5,109.0,7.0,29.0922357,0.07775864,241367.525,3104060.63,al quaa,37.0,33.8095086
2023,81.0,112.0,7.0,0.4,103.0,7.0,29.3723304,0.14737231,457452.576,3104060.63,al quaa,32.0,34.3102887
2024,66.0,100.0,7.0,0.3,75.0,6.0,29.2644609,0.20163669,625892.513,3104060.63,al quaa,28.0,37.5000203
2025,81.0,118.0,5.0,0.3,90.0,5.0,29.266219,0.14967536,464601.4,3104060.63,al quaa,34.0,32.1453121